"filename", "language", "C#", "ShaderLab", "HLSL", "JSON", "comment", "blank", "total"
"g:\ScrapItOut\scrapout\Assets\Dirty_Bucket\Scripts\worm_anim.cs", "C#", 21, 0, 0, 0, 2, 6, 29
"g:\ScrapItOut\scrapout\Assets\Junkyard models\Shaders\MobileDiffuseDoubleSided.shader", "ShaderLab", 0, 23, 0, 0, 4, 7, 34
"g:\ScrapItOut\scrapout\Assets\Junkyard models\Shaders\UnlitTranparentDoubleSided.shader", "ShaderLab", 0, 16, 0, 0, 4, 5, 25
"g:\ScrapItOut\scrapout\Assets\QuickOutline\Resources\Shaders\OutlineFill.shader", "ShaderLab", 0, 58, 0, 0, 7, 17, 82
"g:\ScrapItOut\scrapout\Assets\QuickOutline\Resources\Shaders\OutlineMask.shader", "ShaderLab", 0, 22, 0, 0, 7, 5, 34
"g:\ScrapItOut\scrapout\Assets\QuickOutline\Scripts\Outline.cs", "C#", 193, 0, 0, 0, 39, 78, 310
"g:\ScrapItOut\scrapout\Assets\Scripts\AmbienceManager.cs", "C#", 29, 0, 0, 0, 0, 7, 36
"g:\ScrapItOut\scrapout\Assets\Scripts\AudioManager.cs", "C#", 93, 0, 0, 0, 1, 16, 110
"g:\ScrapItOut\scrapout\Assets\Scripts\DamagePopup.cs", "C#", 65, 0, 0, 0, 2, 14, 81
"g:\ScrapItOut\scrapout\Assets\Scripts\FaceCamera.cs", "C#", 24, 0, 0, 0, 2, 6, 32
"g:\ScrapItOut\scrapout\Assets\Scripts\GunSystem\GunAnimationController.cs", "C#", 298, 0, 0, 0, 35, 65, 398
"g:\ScrapItOut\scrapout\Assets\Scripts\GunSystem\GunBodyType.cs", "C#", 4, 0, 0, 0, 0, 0, 4
"g:\ScrapItOut\scrapout\Assets\Scripts\GunSystem\GunPartType.cs", "C#", 9, 0, 0, 0, 0, 1, 10
"g:\ScrapItOut\scrapout\Assets\Scripts\GunSystem\GunParts\Barrel.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"g:\ScrapItOut\scrapout\Assets\Scripts\GunSystem\GunParts\Grip.cs", "C#", 9, 0, 0, 0, 0, 1, 10
"g:\ScrapItOut\scrapout\Assets\Scripts\GunSystem\GunParts\GunBody.cs", "C#", 11, 0, 0, 0, 0, 2, 13
"g:\ScrapItOut\scrapout\Assets\Scripts\GunSystem\GunParts\GunPart.cs", "C#", 15, 0, 0, 0, 0, 3, 18
"g:\ScrapItOut\scrapout\Assets\Scripts\GunSystem\GunParts\Magazine.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"g:\ScrapItOut\scrapout\Assets\Scripts\GunSystem\GunParts\Optic.cs", "C#", 9, 0, 0, 0, 0, 1, 10
"g:\ScrapItOut\scrapout\Assets\Scripts\GunSystem\GunParts\Stock.cs", "C#", 9, 0, 0, 0, 0, 1, 10
"g:\ScrapItOut\scrapout\Assets\Scripts\GunSystem\GunStats.cs", "C#", 12, 0, 0, 0, 0, 2, 14
"g:\ScrapItOut\scrapout\Assets\Scripts\GunSystem\GunTest.cs", "C#", 21, 0, 0, 0, 0, 4, 25
"g:\ScrapItOut\scrapout\Assets\Scripts\GunSystem\Inventory\GunPartInventory.cs", "C#", 61, 0, 0, 0, 0, 13, 74
"g:\ScrapItOut\scrapout\Assets\Scripts\GunSystem\Inventory\GunPartPickup.cs", "C#", 36, 0, 0, 0, 0, 7, 43
"g:\ScrapItOut\scrapout\Assets\Scripts\GunSystem\Inventory\PlayerGunLoadout.cs", "C#", 61, 0, 0, 0, 0, 16, 77
"g:\ScrapItOut\scrapout\Assets\Scripts\GunSystem\gunassembler.cs", "C#", 447, 0, 0, 0, 13, 100, 560
